   Date      NEC  Atira  Aten Apollo  Amor  PHA-KM  PHA  NEA-KM NEA140  NEA    NEO
2017-10-11   106     16  1235   9108  6418     157 1846     884   7845 16777  16883
2017-10-01   106     16  1232   9089  6411     157 1844     884   7839 16748  16854
2017-09-01   106     16  1217   8980  6299     157 1834     884   7785 16512  16618
2017-08-01   106     16  1202   8918  6231     157 1827     884   7744 16367  16473
2017-07-01   106     16  1197   8885  6187     157 1817     884   7712 16285  16391
2017-06-01   106     16  1191   8834  6146     157 1805     883   7668 16187  16293
2017-05-01   106     16  1180   8774  6120     157 1800     882   7638 16090  16196
2017-04-01   106     16  1163   8702  6081     157 1792     881   7603 15962  16068
2017-03-01   106     16  1144   8549  6014     157 1784     880   7553 15723  15829
2017-02-01   106     16  1138   8471  5973     157 1779     879   7521 15598  15704
2017-01-01   106     16  1124   8343  5923     157 1761     878   7465 15406  15512
2016-12-01   106     16  1118   8271  5888     157 1748     878   7421 15293  15399
2016-11-01   106     16  1103   8152  5834     157 1742     878   7370 15105  15211
2016-10-01   106     16  1085   8032  5758     157 1733     878   7322 14891  14997
2016-09-01   106     16  1073   7950  5681     157 1730     877   7281 14720  14826
2016-08-01   106     16  1070   7898  5601     157 1719     877   7234 14585  14691
2016-07-01   106     16  1064   7861  5542     157 1708     876   7191 14483  14589
2016-06-01   106     16  1058   7805  5504     157 1703     876   7149 14383  14489
2016-05-01   105     16  1042   7739  5460     157 1694     876   7110 14257  14362
2016-04-01   105     16  1028   7653  5402     156 1686     875   7068 14099  14204
2016-03-01   105     16  1004   7511  5341     156 1675     874   7009 13872  13977
2016-02-01   105     16   991   7407  5278     155 1660     873   6964 13692  13797
2016-01-01   105     16   978   7313  5212     155 1643     871   6898 13519  13624
2015-12-01   103     16   958   7196  5157     155 1632     870   6839 13327  13430
2015-11-01   103     16   949   7105  5109     155 1628     869   6802 13179  13282
2015-10-01   103     16   946   7033  5041     155 1613     869   6744 13036  13139
2015-09-01   103     16   939   6980  4976     155 1606     869   6710 12911  13014
2015-08-01   103     16   938   6940  4939     155 1601     869   6679 12833  12936
2015-07-01   103     16   934   6914  4907     155 1594     869   6644 12771  12874
2015-06-01   103     15   933   6874  4869     155 1590     868   6609 12691  12794
2015-05-01   103     15   921   6812  4805     155 1580     868   6572 12553  12656
2015-04-01   102     15   916   6730  4743     154 1572     867   6533 12404  12506
2015-03-01   102     15   905   6620  4705     154 1559     864   6481 12245  12347
2015-02-01   101     14   897   6537  4665     154 1547     864   6443 12113  12214
2015-01-01   100     14   888   6453  4598     154 1533     862   6372 11953  12053
2014-12-01   100     14   879   6389  4561     154 1524     860   6319 11843  11943
2014-11-01   100     14   873   6316  4495     154 1515     857   6273 11698  11798
2014-10-01    99     14   866   6226  4432     154 1509     857   6233 11538  11637
2014-09-01    99     14   860   6173  4378     154 1504     857   6202 11425  11524
2014-08-01    99     14   855   6120  4305     154 1495     857   6143 11294  11393
2014-07-01    99     14   853   6078  4273     154 1485     857   6110 11218  11317
2014-06-01    99     14   844   6041  4217     153 1477     853   6065 11116  11215
2014-05-01    99     14   837   5974  4172     153 1465     852   6021 10997  11096
2014-04-01    99     14   825   5857  4064     153 1457     851   5966 10760  10859
2014-03-01    99     13   818   5800  4039     153 1452     851   5936 10670  10769
2014-02-01    99     13   810   5755  4001     153 1445     851   5901 10579  10678
2014-01-01    99     13   803   5702  3961     153 1441     850   5867 10479  10578
2013-12-01    99     13   798   5647  3935     153 1437     850   5835 10393  10492
2013-11-01    99     13   797   5575  3909     153 1429     850   5802 10294  10393
2013-10-01    98     12   785   5516  3847     152 1420     846   5761 10160  10258
2013-09-01    98     12   779   5460  3792     152 1416     845   5725 10043  10141
2013-08-01    98     12   777   5428  3756     152 1409     845   5697  9973  10071
2013-07-01    98     12   772   5400  3731     152 1402     844   5668  9915  10013
2013-06-01    98     12   769   5371  3712     152 1395     842   5638  9864   9962
